model,key,image,category,latency,regions,chars,mean_conf,n_tables
PP-OCRv6_medium,ocrv6_medium,form_12.jpg,form,0.674,63,1150,0.9981,0
PP-OCRv6_medium,ocrv6_medium,form_13.jpg,form,1.235,98,1796,0.9952,0
PP-OCRv6_medium,ocrv6_medium,form_14.jpg,form,1.234,135,2191,0.9945,0
PP-OCRv6_medium,ocrv6_medium,form_15.jpg,form,1.544,81,2204,0.9847,0
PP-OCRv6_medium,ocrv6_medium,form_16.jpg,form,1.259,64,1570,0.9928,0
PP-OCRv6_medium,ocrv6_medium,form_17.jpg,form,1.033,77,1104,0.9968,0
PP-OCRv6_medium,ocrv6_medium,form_18.jpg,form,0.242,20,415,0.9607,0
PP-OCRv6_medium,ocrv6_medium,form_19.jpg,form,0.542,34,584,0.999,0
PP-OCRv6_medium,ocrv6_medium,form_20.jpg,form,1.088,57,1071,0.9934,0
PP-OCRv6_medium,ocrv6_medium,form_21.jpg,form,1.194,39,1365,0.9957,0
PP-OCRv6_medium,ocrv6_medium,form_22.jpg,form,1.494,145,2995,0.964,0
PP-OCRv6_medium,ocrv6_medium,form_23.jpg,form,1.209,60,1160,0.9705,0
PP-OCRv6_medium,ocrv6_medium,invoice_01.jpg,invoice,0.558,18,191,0.9986,0
PP-OCRv6_medium,ocrv6_medium,invoice_02.jpg,invoice,0.261,16,154,0.9953,0
PP-OCRv6_medium,ocrv6_medium,invoice_03.jpg,invoice,0.405,14,123,0.9989,0
PP-OCRv6_medium,ocrv6_medium,invoice_04.jpg,invoice,0.307,24,284,0.9982,0
PP-OCRv6_medium,ocrv6_medium,invoice_05.jpg,invoice,0.984,69,705,0.9988,0
PP-OCRv6_medium,ocrv6_medium,invoice_06.jpg,invoice,0.608,20,304,0.9991,0
PP-OCRv6_medium,ocrv6_medium,invoice_07.jpg,invoice,0.303,28,320,0.9847,0
PP-OCRv6_medium,ocrv6_medium,invoice_08.jpg,invoice,0.691,28,445,0.9933,0
PP-OCRv6_medium,ocrv6_medium,invoice_09.jpg,invoice,0.58,21,246,0.9985,0
PP-OCRv6_medium,ocrv6_medium,invoice_10.jpg,invoice,0.293,22,349,0.9758,0
PP-OCRv6_medium,ocrv6_medium,invoice_11.jpg,invoice,0.899,39,694,0.9964,0
PP-OCRv6_medium,ocrv6_medium,invoice_12.jpg,invoice,0.32,27,470,0.9782,0
PP-OCRv6_medium,ocrv6_medium,invoice_13.jpg,invoice,0.36,23,227,0.9749,0
PP-OCRv6_medium,ocrv6_medium,invoice_14.jpg,invoice,0.259,18,199,0.9981,0
PP-OCRv6_medium,ocrv6_medium,invoice_15.jpg,invoice,0.657,41,517,0.9987,0
PP-OCRv6_medium,ocrv6_medium,invoice_16.jpg,invoice,0.691,26,401,0.9929,0
PP-OCRv6_medium,ocrv6_medium,invoice_17.jpg,invoice,0.646,29,358,0.9961,0
PP-OCRv6_medium,ocrv6_medium,invoice_18.jpg,invoice,0.357,28,343,0.9925,0
PP-OCRv6_medium,ocrv6_medium,invoice_19.jpg,invoice,0.935,69,615,0.9996,0
PP-OCRv6_medium,ocrv6_medium,invoice_20.jpg,invoice,0.475,42,700,0.9927,0
PP-OCRv6_medium,ocrv6_medium,invoice_21.jpg,invoice,0.639,38,404,0.9925,0
PP-OCRv6_medium,ocrv6_medium,invoice_22.jpg,invoice,0.422,41,477,0.9978,0
PP-OCRv6_medium,ocrv6_medium,invoice_23.jpg,invoice,0.709,32,421,0.9865,0
PP-OCRv6_medium,ocrv6_medium,original_001.jpg,original,0.998,62,1136,0.995,0
PP-OCRv6_medium,ocrv6_medium,original_002.jpg,original,0.646,28,742,0.9975,0
PP-OCRv6_medium,ocrv6_medium,original_003.jpg,original,0.361,34,737,0.9801,0
PP-OCRv6_medium,ocrv6_medium,original_004.jpg,original,0.486,34,812,0.987,0
PP-OCRv6_medium,ocrv6_medium,original_005.jpg,original,1.132,75,1949,0.9474,0
PP-OCRv6_medium,ocrv6_medium,original_006.jpg,original,1.394,133,3034,0.9947,0
PP-OCRv6_medium,ocrv6_medium,original_007.jpg,original,0.707,83,933,0.9578,0
PP-OCRv6_medium,ocrv6_medium,original_008.jpg,original,0.464,47,874,0.9898,0
PP-OCRv6_medium,ocrv6_medium,original_009.jpg,original,0.651,49,1173,0.9913,0
PP-OCRv6_medium,ocrv6_medium,original_010.jpg,original,0.656,64,937,0.9977,0
PP-OCRv6_medium,ocrv6_medium,original_011.jpg,original,0.351,24,538,0.995,0
PP-OCRv6_medium,ocrv6_medium,report_01.jpg,report,1.278,127,1229,0.9981,0
PP-OCRv6_medium,ocrv6_medium,report_02.jpg,report,1.529,201,1472,0.9911,0
PP-OCRv6_medium,ocrv6_medium,report_03.jpg,report,2.182,229,2632,0.9979,0
PP-OCRv6_medium,ocrv6_medium,report_04.jpg,report,0.466,32,317,0.998,0
PP-OCRv6_medium,ocrv6_medium,report_05.jpg,report,0.907,133,887,0.998,0
PP-OCRv6_medium,ocrv6_medium,report_06.jpg,report,1.087,134,1052,0.9813,0
PP-OCRv6_medium,ocrv6_medium,report_07.jpg,report,0.284,22,256,0.9983,0
PP-OCRv6_medium,ocrv6_medium,report_08.jpg,report,0.972,96,763,0.9895,0
PP-OCRv6_medium,ocrv6_medium,report_09.jpg,report,1.81,272,1357,0.952,0
PP-OCRv6_medium,ocrv6_medium,report_10.jpg,report,1.501,116,2283,0.9497,0
PP-OCRv6_medium,ocrv6_medium,report_11.jpg,report,0.694,71,1244,0.9883,0
PP-OCRv6_medium,ocrv6_medium,report_12.jpg,report,1.523,231,1384,0.9957,0
PP-OCRv6_medium,ocrv6_medium,report_13.jpg,report,0.26,8,161,0.9979,0
PP-OCRv6_medium,ocrv6_medium,report_14.jpg,report,0.416,50,509,0.9983,0
PP-OCRv6_medium,ocrv6_medium,report_15.jpg,report,0.316,27,560,0.992,0
PP-OCRv6_medium,ocrv6_medium,report_16.jpg,report,1.076,120,1040,0.9716,0
PP-OCRv6_medium,ocrv6_medium,report_17.jpg,report,1.2,175,1496,0.9848,0
PP-OCRv6_medium,ocrv6_medium,report_18.jpg,report,2.155,342,2087,0.9941,0
PP-OCRv6_medium,ocrv6_medium,report_19.jpg,report,0.808,114,797,0.9979,0
PP-OCRv6_medium,ocrv6_medium,report_20.jpg,report,1.277,181,1200,0.9992,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_01.jpg,agenda,58.627,18,157,0.9065,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_02.jpg,agenda,0.57,24,277,0.9917,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_03.jpg,agenda,1.883,17,181,0.9989,2
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_04.jpg,agenda,1.349,12,126,0.9975,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_05.jpg,agenda,2.762,36,252,0.9998,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_06.jpg,agenda,1.122,41,246,0.9964,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_07.jpg,agenda,1.133,56,547,0.9995,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_08.jpg,agenda,1.14,40,902,0.9946,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_09.jpg,agenda,1.072,61,940,0.9977,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_10.jpg,agenda,0.35,15,166,0.903,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_11.jpg,agenda,0.419,15,172,0.9831,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_12.jpg,agenda,1.11,18,371,0.9951,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_13.jpg,agenda,1.124,50,495,0.9993,2
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_14.jpg,agenda,1.613,69,239,0.9941,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_15.jpg,agenda,1.434,59,786,0.9982,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_16.jpg,agenda,0.712,30,461,0.9882,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_17.jpg,agenda,2.364,36,292,0.9994,4
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_18.jpg,agenda,1.1,56,780,0.9861,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_19.jpg,agenda,3.824,27,45,0.9981,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_20.jpg,agenda,0.783,60,870,0.9747,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_21.jpg,agenda,0.945,38,675,0.9919,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_22.jpg,agenda,0.983,23,708,0.9912,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,agenda_23.jpg,agenda,1.051,34,809,0.9958,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_01.jpg,form,5.1,132,901,0.9945,2
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_02.jpg,form,0.532,43,36,0.9271,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_03.jpg,form,0.94,63,975,0.9918,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_04.jpg,form,1.182,59,584,0.9981,3
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_05.jpg,form,1.803,122,2046,0.9837,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_06.jpg,form,1.737,103,1767,0.9883,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_07.jpg,form,0.833,41,689,0.9825,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_08.jpg,form,2.393,121,2258,0.9916,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_09.jpg,form,1.696,60,1153,0.9839,4
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_10.jpg,form,2.092,94,1814,0.9962,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_11.jpg,form,2.065,73,1196,0.9779,2
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_12.jpg,form,0.939,63,0,0.9979,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_13.jpg,form,2.029,100,1428,0.99,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_14.jpg,form,2.378,135,1460,0.9941,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_15.jpg,form,2.158,86,2153,0.9752,2
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_16.jpg,form,1.795,64,1466,0.9919,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_17.jpg,form,1.772,76,734,0.9933,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_18.jpg,form,0.368,20,414,0.9574,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_19.jpg,form,0.565,34,126,0.9856,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_20.jpg,form,4.601,56,351,0.9928,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_21.jpg,form,1.414,39,0,0.9967,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_22.jpg,form,2.713,145,2358,0.9636,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,form_23.jpg,form,1.508,65,1089,0.9358,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_01.jpg,invoice,0.737,20,188,0.8995,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_02.jpg,invoice,1.372,16,211,0.997,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_03.jpg,invoice,1.246,15,108,0.9973,2
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_04.jpg,invoice,0.848,24,214,0.9958,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_05.jpg,invoice,1.031,68,557,0.9978,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_06.jpg,invoice,0.937,19,286,0.9968,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_07.jpg,invoice,1.534,28,85,0.9847,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_08.jpg,invoice,0.719,28,329,0.9952,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_09.jpg,invoice,0.632,21,157,0.9998,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_10.jpg,invoice,1.765,22,264,0.976,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_11.jpg,invoice,3.129,39,651,0.995,3
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_12.jpg,invoice,1.028,27,466,0.979,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_13.jpg,invoice,0.531,23,0,0.9697,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_14.jpg,invoice,1.064,19,195,0.9958,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_15.jpg,invoice,0.958,41,497,0.9966,3
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_16.jpg,invoice,0.686,26,254,0.9941,2
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_17.jpg,invoice,1.034,29,70,0.9977,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_18.jpg,invoice,0.787,28,274,0.9924,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_19.jpg,invoice,1.299,69,636,0.9972,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_20.jpg,invoice,1.982,42,654,0.9926,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_21.jpg,invoice,0.712,39,385,0.9954,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_22.jpg,invoice,1.572,41,403,0.9977,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,invoice_23.jpg,invoice,3.817,32,243,0.9799,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_001.jpg,original,1.271,63,1070,0.9953,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_002.jpg,original,0.948,28,731,0.997,2
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_003.jpg,original,0.507,34,725,0.9802,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_004.jpg,original,0.614,34,809,0.9864,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_005.jpg,original,1.479,77,1935,0.9345,0
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_006.jpg,original,2.142,133,3034,0.9967,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_007.jpg,original,1.333,83,800,0.9578,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_008.jpg,original,0.939,47,859,0.9881,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_009.jpg,original,0.968,49,1118,0.9914,1
"PP-StructureV3 (lean, OCRv6-medium)",structurev3,original_010.jpg,original,1.153,64,898,0.9977,1
