model,key,image,category,word_P,word_R,word_F1,char_sim,vl_tables,model_tables,table_recall
PP-OCRv6_small,ocrv6_small,original_003.jpg,original,0.9722222222222222,0.9130434782608695,0.9417040358744394,0.44878706199460916,0,0,
PP-OCRv6_small,ocrv6_small,original_004.jpg,original,0.9243697478991597,0.9166666666666666,0.9205020920502092,0.8692403486924035,0,0,
PP-OCRv6_small,ocrv6_small,original_005.jpg,original,0.8356643356643356,0.6927536231884058,0.7575277337559431,0.14107053526763383,0,0,
PP-OCRv6_small,ocrv6_small,original_006.jpg,original,0.9750623441396509,0.9750623441396509,0.9750623441396509,0.709858226178701,1,0,0.0
PP-OCRv6_small,ocrv6_small,original_007.jpg,original,0.8263157894736842,0.98125,0.8971428571428571,0.5656232839099395,1,0,0.0
PP-OCRv6_small,ocrv6_small,original_008.jpg,original,0.8553459119496856,0.8888888888888888,0.8717948717948718,0.9457190822607723,2,0,0.0
PP-OCRv6_small,ocrv6_small,original_009.jpg,original,0.7891566265060241,0.8238993710691824,0.8061538461538462,0.5880840120017146,1,0,0.0
PP-OCRv6_small,ocrv6_small,original_010.jpg,original,0.9338235294117647,0.9338235294117647,0.9338235294117647,0.8978723404255319,1,0,0.0
PP-OCRv6_small,ocrv6_small,original_011.jpg,original,1.0,1.0,1.0,0.48698884758364314,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_01.jpg,report,0.3883495145631068,0.36036036036036034,0.3738317757009346,0.3513203214695752,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_02.jpg,report,0.7652582159624414,1.0,0.8670212765957447,0.8122605363984674,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_03.jpg,report,0.9567430025445293,0.9740932642487047,0.9653401797175867,0.1343570057581574,2,0,0.0
PP-OCRv6_small,ocrv6_small,report_04.jpg,report,0.9795918367346939,0.96,0.9696969696969697,0.9984202211690363,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_05.jpg,report,0.8625,0.8571428571428571,0.8598130841121496,0.6477683956574186,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_06.jpg,report,0.6078431372549019,0.9789473684210527,0.7499999999999999,0.15471698113207547,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_07.jpg,report,0.9696969696969697,0.9411764705882353,0.955223880597015,0.9980430528375733,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_08.jpg,report,0.8536585365853658,0.9722222222222222,0.9090909090909091,0.21316165951359084,2,0,0.0
PP-OCRv6_small,ocrv6_small,report_09.jpg,report,0.8413284132841329,0.5229357798165137,0.6449787835926449,0.11281285020545387,3,0,0.0
PP-OCRv6_small,ocrv6_small,report_10.jpg,report,0.8839590443686007,0.6658097686375322,0.7595307917888564,0.8590604026845637,1,0,0.0
